taxonomyId,name,englishName,slug,legacyUrls,level,parentTaxonomyId,categoryType,displayOrder,description,heroImage,seoTitle,seoDescription,productCount,sourceFiles,migrationStatus,notes
"sub-yellow-diamonds","黃鑽","Yellow Diamonds","yellow-diamonds","/collections/黃鑽","2","primary-colored-diamonds","subcategory","31","黃色系彩鑽與相關珠寶。","/assets/jewelry/celestial-bloom-ring.jpeg","黃鑽 | 鑽之韻 DIAMOND SYMPHONY","黃色系彩鑽與相關珠寶。","9","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-pink-diamonds","粉鑽","Pink Diamonds","pink-diamonds","/collections/粉鑽","2","primary-colored-diamonds","subcategory","32","粉色系彩鑽與相關珠寶。","/assets/jewelry/celestial-bloom-ring.jpeg","粉鑽 | 鑽之韻 DIAMOND SYMPHONY","粉色系彩鑽與相關珠寶。","17","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-red-diamonds","紅鑽","Red Diamonds","red-diamonds","/collections/紅鑽","2","primary-colored-diamonds","subcategory","33","紅色系彩鑽與相關珠寶。","/assets/jewelry/celestial-bloom-ring.jpeg","紅鑽 | 鑽之韻 DIAMOND SYMPHONY","紅色系彩鑽與相關珠寶。","0","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-blue-diamonds","藍鑽","Blue Diamonds","blue-diamonds","/collections/藍鑽","2","primary-colored-diamonds","subcategory","34","藍色系彩鑽與相關珠寶。","/assets/jewelry/celestial-bloom-ring.jpeg","藍鑽 | 鑽之韻 DIAMOND SYMPHONY","藍色系彩鑽與相關珠寶。","6","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-green-diamonds","綠鑽","Green Diamonds","green-diamonds","/collections/綠鑽","2","primary-colored-diamonds","subcategory","35","綠色系彩鑽與相關珠寶。","/assets/jewelry/celestial-bloom-ring.jpeg","綠鑽 | 鑽之韻 DIAMOND SYMPHONY","綠色系彩鑽與相關珠寶。","0","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-other-color-diamonds","其他彩鑽","Other Color Diamonds","other-color-diamonds","/collections/其他彩鑽","2","primary-colored-diamonds","subcategory","36","其他色系或需人工確認色彩分類的彩鑽。","/assets/jewelry/celestial-bloom-ring.jpeg","其他彩鑽 | 鑽之韻 DIAMOND SYMPHONY","其他色系或需人工確認色彩分類的彩鑽。","24","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-necklaces","項鍊","Necklaces","necklaces","/collections/necklace","2","primary-other-jewelry","subcategory","51","項鍊與墜飾類珠寶。","/assets/migrated/collections/necklace.jpeg","項鍊 | 鑽之韻 DIAMOND SYMPHONY","項鍊與墜飾類珠寶。","15","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-earrings","耳環","Earrings","earrings","/collections/earring","2","primary-other-jewelry","subcategory","52","耳環、耳釘與成對配戴珠寶。","/assets/migrated/collections/wedding-ring.jpeg","耳環 | 鑽之韻 DIAMOND SYMPHONY","耳環、耳釘與成對配戴珠寶。","7","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-bracelets","手鍊","Bracelets","bracelets","/collections/bracelet","2","primary-other-jewelry","subcategory","53","手鍊與手部配戴珠寶。","/assets/migrated/collections/wedding-ring.jpeg","手鍊 | 鑽之韻 DIAMOND SYMPHONY","手鍊與手部配戴珠寶。","1","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-pair-rings","對戒","Pair Rings","pair-rings","/collections/pair-ring","2","primary-other-jewelry","subcategory","54","伴侶對戒與雙人配戴系列。","/assets/migrated/collections/wedding-ring.jpeg","對戒 | 鑽之韻 DIAMOND SYMPHONY","伴侶對戒與雙人配戴系列。","7","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"type-ring","戒指","Ring","ring","","3","","product-type","101","戒指型商品。","/assets/migrated/collections/womens-ring.jpeg","戒指 | 鑽之韻 DIAMOND SYMPHONY","戒指型商品。","75","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"type-necklace","項鍊","Necklace","necklace","","3","","product-type","102","項鍊型商品。","/assets/migrated/collections/necklace.jpeg","項鍊 | 鑽之韻 DIAMOND SYMPHONY","項鍊型商品。","15","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"type-earring","耳環","Earring","earring","","3","","product-type","103","耳環型商品。","/assets/migrated/collections/wedding-ring.jpeg","耳環 | 鑽之韻 DIAMOND SYMPHONY","耳環型商品。","6","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"type-bracelet","手鍊","Bracelet","bracelet","","3","","product-type","104","手鍊型商品。","/assets/migrated/collections/wedding-ring.jpeg","手鍊 | 鑽之韻 DIAMOND SYMPHONY","手鍊型商品。","1","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"type-loose-diamond","裸鑽","Loose Diamond","loose-diamond","","3","","product-type","105","裸鑽型商品。","/assets/migrated/collections/loose-diamond.jpeg","裸鑽 | 鑽之韻 DIAMOND SYMPHONY","裸鑽型商品。","1","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"audience-women","女性","Women","women","","3","","audience","201","主要面向女性配戴者。","","女性 | 鑽之韻 DIAMOND SYMPHONY","主要面向女性配戴者。","43","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"audience-men","男性","Men","men","","3","","audience","202","主要面向男性配戴者。","","男性 | 鑽之韻 DIAMOND SYMPHONY","主要面向男性配戴者。","25","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"audience-couple","伴侶","Couple","couple","","3","","audience","203","伴侶、對戒或雙人配戴情境。","","伴侶 | 鑽之韻 DIAMOND SYMPHONY","伴侶、對戒或雙人配戴情境。","7","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"audience-unisex","不限性別","Unisex","unisex","","3","","audience","204","不限性別或需人工確認的配戴情境。","","不限性別 | 鑽之韻 DIAMOND SYMPHONY","不限性別或需人工確認的配戴情境。","36","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"diamond-natural","天然鑽石","Natural Diamond","natural-diamond","","3","","diamond-type","301","天然鑽石。","","天然鑽石 | 鑽之韻 DIAMOND SYMPHONY","天然鑽石。","79","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"diamond-colored","彩色鑽石","Colored Diamond","colored-diamond","","3","","diamond-type","302","彩色鑽石。","","彩色鑽石 | 鑽之韻 DIAMOND SYMPHONY","彩色鑽石。","32","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"shape-round","圓形","Round","round","","3","","stone-shape","401","圓形明亮式切工或需以圓形歸類的資料。","","圓形 | 鑽之韻 DIAMOND SYMPHONY","圓形明亮式切工或需以圓形歸類的資料。","0","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"legacy-unresolved","待人工確認","Needs Review","unresolved","","3","","legacy-only","999","舊資料不足或編碼損壞，需要後續人工確認。","","待人工確認 | 鑽之韻 DIAMOND SYMPHONY","舊資料不足或編碼損壞，需要後續人工確認。","0","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
