productId,productName,slug,originalUrl,primaryCategory,subcategories,productType,collection,audience,diamondType,taxonomyStatus,notes
"DSP-0090","蝶映粉光｜Blush Butterfly Radiance","blush-butterfly-radiance","","colored-diamonds","pink-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0110","戀光之心｜Blush Halo Promise","blush-halo-promise","","colored-diamonds","classic-womens-rings|pink-diamonds","ring","ring-female | 粉鑽 | 經典女戒","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0006","心悅之吻｜Blush Kiss","blush-kiss","","colored-diamonds","necklaces|pink-diamonds|other-color-diamonds","necklace","necklace | 彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0062","粉芒之淚｜Blush Teardrop","blush-teardrop","","colored-diamonds","necklaces|pink-diamonds|other-color-diamonds","necklace","necklace | 彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0059","相契之刻｜Bonded Edge","bonded-edge","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0009","心耀之環｜Brilliant Embrace","brilliant-embrace","","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0055","星願經典｜Brilliant Wish","brilliant-wish","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0056","星瀾綻放｜Celestial Bloom","celestial-bloom","","colored-diamonds","blue-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 藍鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0053","星環映粹｜Celestial Halo Radiance","celestial-halo-radiance","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0051","星語誓約｜Celestial Vow","celestial-vow","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0037","金耀圓華｜Circle of Radiance","circle-of-radiance","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0088","銀耀之冠 Crown of Argent Radiance","crown-of-argent-radiance","","colored-diamonds","classic-mens-rings|yellow-diamonds|other-color-diamonds","ring","ring-man | 彩色鑽石專區 | 經典男戒 | 黃鑽","men","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0042","帝鑽之冠｜Crown of Majesty","crown-of-majesty","https://www.dsdiamond.com.tw/products/男戒05","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0033","花冕之心｜Crowned Heart Grace","crowned-heart-grace","","colored-diamonds","classic-womens-rings|pink-diamonds","ring","粉鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0038","冠芒相守｜Crowned Promise","crowned-promise","","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0026","冰心湛藍｜Crystal Blue Heart","crystal-blue-heart","https://www.dsdiamond.com.tw/products/女戒29","colored-diamonds","classic-womens-rings|engagement-rings|blue-diamonds","ring","ring-female | 求婚 | 經典女戒","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0014","半壁江山｜Destined Dominion","destined-dominion","","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0091","鋒耀之冠｜Dominion Crest","dominion-crest","","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0109","權耀之環｜Dominion Halo","dominion-halo","","colored-diamonds","classic-mens-rings|yellow-diamonds|other-color-diamonds","ring","ring-man | 彩色鑽石專區 | 經典男戒 | 黃鑽","men","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0105","雙心守護｜Double Heart Embrace","double-heart-embrace","","colored-diamonds","pink-diamonds","戒指","粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0003","心弦共鳴｜Echo of Us","echo-of-us","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0081","稜境之耀｜Edge of Radiance","edge-of-radiance","","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0020","交織之緣｜Entwined Destiny","entwined-destiny","https://www.dsdiamond.com.tw/products/女戒23","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0019","交織之約｜Entwined Promise","entwined-promise","https://www.dsdiamond.com.tw/products/女戒24","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0045","恆穩之光｜Eterna Shine","eterna-shine","","mens-diamond-rings","classic-mens-rings","ring","ring-man","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0010","心鑽交織｜Eternal Entwine","eternal-entwine","","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0022","光華永恆｜Eternal Halo","eternal-halo","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0046","恆耀之鏈｜Eternal Sparkle","eternal-sparkle","","other-jewelry","bracelets","bracelet","bracelet","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0015","永恆心語｜Eternal Whisper","eternal-whisper","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0092","凝光心羽｜Ethereal Heart Petals","ethereal-heart-petals","","colored-diamonds","pink-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0106","離心誓約｜Fine Jewelry Ring","fine-jewelry-ring","","womens-diamond-rings","classic-womens-rings","ring","","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0032","花序微光｜Floral Constellation","floral-constellation","","womens-diamond-rings","classic-womens-rings","ring","","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0058","流光心語｜Gleaming Vow","gleaming-vow","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0034","金緻花語｜Golden Bloom","golden-bloom","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0035","金曜凝光｜Golden Halo Radiance","golden-halo-radiance","","colored-diamonds","engagement-rings|yellow-diamonds|other-color-diamonds","ring","彩色鑽石專區 | 求婚 | 黃鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0036","金耀華章｜Golden Sonata","golden-sonata","","colored-diamonds","yellow-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 黃鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0004","心金不渝｜Golden Vow","golden-vow","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0039","契合之環｜Harmonic Loop","harmonic-loop","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0061","秘語心印｜Hidden Whisper","hidden-whisper","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0043","帝鑽榮耀｜Imperial Glory","imperial-glory","https://www.dsdiamond.com.tw/products/男戒15","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0023","光璨雙影｜Luminous Duet","luminous-duet","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0093","凝光序曲｜Luminous Prelude","luminous-prelude","https://www.dsdiamond.com.tw/products/女戒05","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0024","光曜之境｜Luminous Realm","luminous-realm","https://www.dsdiamond.com.tw/products/女戒27","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0070","雫月之心｜Lune Drop","lune-drop","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0040","帝后之鑽｜Majestic Regalia","majestic-regalia","","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0025","光韻之矢｜Marquise Gleam","marquise-gleam","https://www.dsdiamond.com.tw/products/marquise-gleam-dsdiamond","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0080","極簡星芒｜Minimal Radiance","minimal-radiance","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0099","曜域方璨｜Monolith Brilliance","monolith-brilliance","https://www.dsdiamond.com.tw/products/monolith-brilliance-dsdiamond","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0066","晨曦之光｜Morning Glow","morning-glow","","colored-diamonds","engagement-rings|yellow-diamonds|other-color-diamonds","ring","彩色鑽石專區 | 求婚 | 黃鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0063","粉愛花冠｜Pink Crown of Love","pink-crown-of-love","","colored-diamonds","pink-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0005","心映愛語｜Pink Whisper","pink-whisper","","colored-diamonds","classic-womens-rings|engagement-rings|pink-diamonds|other-color-diamonds","ring","ring-female | 彩色鑽石專區 | 求婚 | 粉鑽 | 經典女戒","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0027","初心之愛｜Pure Heart Promise","pure-heart-promise","https://www.dsdiamond.com.tw/products/pure-heart-promise-dsdiamond","colored-diamonds","classic-womens-rings|pink-diamonds","ring","ring-female | 粉鑽 | 經典女戒","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0021","光芒綻放｜Radiant Bloom","radiant-bloom","https://www.dsdiamond.com.tw/products/女戒21","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0098","曜映之環｜Radiant Bond","radiant-bond","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0100","曜域光序｜Radiant Domain Halo","radiant-domain-halo","","colored-diamonds","engagement-rings|yellow-diamonds|other-color-diamonds","ring","彩色鑽石專區 | 求婚 | 黃鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0012","方域之璽｜Regal Frame","regal-frame","https://www.dsdiamond.com.tw/products/regalframe-dsdiamond","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0104","鎏光華紋｜Regal Radiance","regal-radiance","","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0064","御璽之環｜Regal Seal","regal-seal","https://www.dsdiamond.com.tw/products/男戒06","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0086","緋曜格序｜Rosé Architectural Halo","rose-architectural-halo","","colored-diamonds","classic-womens-rings|engagement-rings|pink-diamonds","ring","粉鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0087","緋露晨光｜Rosé Dew Radiance","rose-dew-radiance","","colored-diamonds","pink-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0007","心境如初｜Rose Embrace","rose-embrace","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0031","玫光心語｜Rosé Heart Whisper","rose-heart-whisper","","colored-diamonds","pink-diamonds","戒指","粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0069","晨曦蜜語｜Rosé Whisper","rose-whisper","","colored-diamonds","necklaces|pink-diamonds|other-color-diamonds","necklace","necklace | 彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0107","權杖紋章｜Scepter Crest","scepter-crest","https://www.dsdiamond.com.tw/products/男戒14","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0094","靜線之約｜Silent Line","silent-line","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0095","靜謐之心｜Silent Pink Heart","silent-pink-heart","","colored-diamonds","pink-diamonds","戒指","粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0013","日耀承諾｜Solar Vow","solar-vow","","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0041","帝耀之環｜Sovereign Glow","sovereign-glow","https://www.dsdiamond.com.tw/products/男戒10","colored-diamonds","classic-mens-rings|yellow-diamonds|other-color-diamonds","ring","ring-man | 彩色鑽石專區 | 經典男戒 | 黃鑽","men","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0108","權境之環｜Sovereign Realm","sovereign-realm","https://www.dsdiamond.com.tw/products/男戒03","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0071","尊耀之印｜Sovereign Seal","sovereign-seal","https://www.dsdiamond.com.tw/products/男戒12-20250721114449","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0089","璀璨星語｜Sparkling Whisper","sparkling-whisper","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0111","戀戀星語｜Starlit Murmurs","starlit-murmurs","","womens-diamond-rings","classic-womens-rings|engagement-rings","ring","ring-female | 求婚 | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0052","星影之語｜Starlit Promise","starlit-promise-dsp-0052","","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0048","星語之願｜Starlit Promise","starlit-promise","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0028","定心之光｜Steady Heartlight","steady-heartlight","https://www.dsdiamond.com.tw/products/steady-heartlight-dsdiamond","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0054","星曜領主｜Stellar Dominion","stellar-dominion","https://www.dsdiamond.com.tw/products/男戒12-20250726122514","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0050","星語名鍊｜Stellar Name","stellar-name","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0049","星語心願｜Stellar Promise","stellar-promise-dsp-0049","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0047","星芒之約｜Stellar Promise","stellar-promise","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0057","星耀經典｜Stellar Studs","stellar-studs","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0097","璨淚光華｜Tear of Brilliance","tear-of-brilliance","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0096","曖曖之心｜Tender Glow","tender-glow","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0016","永恆序曲｜Timeless Prelude","timeless-prelude","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0001","三生之約｜Trilogy Vow","trilogy-vow","https://www.dsdiamond.com.tw/products/女戒14","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0002","三序映華｜Trinity Éclat","trinity-eclat","https://www.dsdiamond.com.tw/products/trinity-eclat-dsdiamond","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0018","交會之光｜Union Light","union-light","https://www.dsdiamond.com.tw/products/union-light-dsdiamond","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0017","交心之結｜Unity Knot","unity-knot","","other-jewelry","pair-rings","ring","pair-ring","couple","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0068","晨曦心語｜Whisper of Dawn","whisper-of-dawn","","womens-diamond-rings","engagement-rings","ring","求婚","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0101","織夢華語｜ Woven Dream","woven-dream","","colored-diamonds","pink-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 粉鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0082","鉑金轉運戒 ( 三排 )","鉑金轉運戒-三排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","ring-man | 轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0083","鉑金轉運戒 ( 單排 )","鉑金轉運戒-單排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","ring-man | 轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0084","鉑金轉運戒 ( 雙排 )","鉑金轉運戒-雙排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","ring-man | 轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0074","黃K金轉運戒 ( 三排 )","黃k金轉運戒-三排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","ring-man | 轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0076","黃K金轉運戒(單排)","黃k金轉運戒-單排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0075","黃K金轉運戒 ( 雙排 )","黃k金轉運戒-雙排","","mens-diamond-rings","fortune-womens-rings|fortune-mens-rings","ring","ring-man | 轉運女戒 | 轉運男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
